Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Academy Requests),Custom field (Access Card),Custom field (Access Card Request),Custom field (Actual end),Custom field (Actual start),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (AddressedTo),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Approvers),Custom field (Approvers)Id,Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Complaint Type),Custom field (Development),Custom field (Document Change Type),Custom field (Document URL),Custom field (EDA Tools),Custom field (Employee Relations Request),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (HRIS),Custom field (Hardware Type),Custom field (ID),Custom field (ID),Custom field (ID Numbers Only),Custom field (IT Priority),Custom field (Impact),Custom field (Implementation plan),Custom field (Include Salary),Custom field (Investigation reason),Custom field (Issue color),Custom field (Language),Custom field (Location),Custom field (Location),Custom field (Locked forms),Custom field (Maintenance Type),Custom field (Major incident),Custom field (Medical Insurance Request),Custom field (Open forms),Custom field (Operational categorization),Custom field (Organization Development Request),Custom field (Organizations),Custom field (Others),Custom field (Others)Id,Custom field (Participants),Custom field (Participants)Id,Custom field (Payroll Calculation),Custom field (Pending reason),Custom field (Performance Management Request),Custom field (Personal Document Type),Custom field (Planned end),Custom field (Planned start),Custom field (Priority Security Queue),Custom field (Product categorization),Custom field (Project),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Referral Program Request),Custom field (Request Type),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Custom field (Salary Included),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Si-Desking Request),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Synopsys Request),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Time to triage normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vacation Type),Custom field (Vacations Request),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category,Status Category Changed
Temp ID needed,SVF-2479,15457,Facility Service Request,Closed,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,mohamed.abdulmoniem@si-vision.com,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:83cb03f1-9ee4-4b94-9a8b-136a4b1153b8,mohamed.abdulmoniem@si-vision.com,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:83cb03f1-9ee4-4b94-9a8b-136a4b1153b8,29/Jun/25 11:51 AM,01/Jul/25 10:34 AM,,29/Jun/25 11:59 AM,,,0,,,"Dear,

Please issue me a temp ID as I forgot it at home today.



Thanks & BR.",,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fe2fdef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o3z:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:12,0:45,,,,,,,,service-request,,2025-06-29 08:53:46.161,1_*:*_1_*:*_151074_*|*_3_*:*_1_*:*_0,,"29/Jun/25 11:53 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team","29/Jun/25 11:59 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Your temporary ID card is now activated and ready for collection. You may pick it up from the Security Desk in Building B during operational hours.

Important Note:
Please ensure that the temporary ID card is returned within 1 working day of issuance. Failure to do so may result in deactivation of your temporary ID

your card NO is  9141294 the temp card number is 9041573

Zoho ID: 49

Best regards,
Facilities team ",,,,,,Done,29/Jun/25 11:59 AM
i need a mouse battery ,SVF-2478,15456,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Abdallah Tarek,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:b564473f-2631-4cf5-9189-d9b21dc3e6e6,Abdallah Tarek,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:b564473f-2631-4cf5-9189-d9b21dc3e6e6,29/Jun/25 11:39 AM,29/Jun/25 12:22 PM,,29/Jun/25 12:22 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71d6cadc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o3r:,,,Mouse Battery,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,2025-06-29 08:49:39.732,1_*:*_1_*:*_590004_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_6885,,"29/Jun/25 11:49 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,29/Jun/25 12:22 PM
Chair is unstable,SVF-2477,15455,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Yahia Refaei,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:11513f9c-af2a-4ddc-b936-9f5463963740,Yahia Refaei,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:11513f9c-af2a-4ddc-b936-9f5463963740,29/Jun/25 11:34 AM,29/Jun/25 5:58 PM,,29/Jun/25 5:58 PM,,,0,,,Chair is unstable,,Aya Hussein,omar.abdelbaset,712020:81232768-8a4e-45cc-9334-1245469ab21f,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e03ec78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o3j:,,,Chair Fixing,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,2025-06-29 08:49:30.099,1_*:*_1_*:*_910495_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7863,,"29/Jun/25 11:49 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team","29/Jun/25 5:13 PM;712020:b231eb7c-3e66-407e-9004-e197c85d54b2;Hello yahia , 

we have been trying to reach you desk many times to solve the issue but you were not there , we fixed a chair that we think it’s yours 

please confirm if the issue is resolved now or not ?",,,,,,Done,29/Jun/25 5:58 PM
Air-conditioning in the LG floor is a bit high (Fan) and very cold (Temp),SVF-2476,15454,[System] Service request,Canceled,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Won't Do,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Ahmed Elhennawy,712020:a5c3d76c-47bf-4137-9405-1aed3529f0dc,Ahmed Elhennawy,712020:a5c3d76c-47bf-4137-9405-1aed3529f0dc,29/Jun/25 11:16 AM,29/Jun/25 4:26 PM,,29/Jun/25 4:26 PM,,,0,,,,,Aya Hussein,omar.abdelbaset,712020:81232768-8a4e-45cc-9334-1245469ab21f,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5802cc86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o3b:,,,AC general maintenance,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,2025-06-29 08:49:18.615,1_*:*_1_*:*_1963523_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7757,,"29/Jun/25 11:49 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team","29/Jun/25 4:26 PM;712020:b231eb7c-3e66-407e-9004-e197c85d54b2;Hello ,

The air conditioning temperature is now set to the same level across all areas. We’re aiming to keep it at a comfortable average that works well for most people and helps maintain a consistent environment.

We really appreciate your understanding",,,,,,Done,29/Jun/25 4:26 PM
I need tissue,SVF-2475,15453,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Aya Hashem,712020:e529a23a-6eb3-4cdc-a13a-b8decadf7216,Aya Hashem,712020:e529a23a-6eb3-4cdc-a13a-b8decadf7216,29/Jun/25 11:05 AM,29/Jun/25 4:25 PM,,29/Jun/25 4:25 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6919b49e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o33:,,,Other,English,,,,,,Yes,,,,,,,,,,,,,,,,,,8:00,80:00,,,,,,,,service-request,,2025-06-29 08:49:07.978,1_*:*_1_*:*_2630585_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7580,,"29/Jun/25 11:49 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,29/Jun/25 4:25 PM
"Hello, the shannon wheel has broken ",SVF-2474,15446,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Omar Mahmoud,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:f5ff2484-745f-4172-abce-49f69ff62a78,Omar Mahmoud,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:f5ff2484-745f-4172-abce-49f69ff62a78,29/Jun/25 10:41 AM,29/Jun/25 12:22 PM,,29/Jun/25 12:22 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@94d158f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o1j:,,,Shannon Fixing,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,2025-06-29 07:56:52.512,1_*:*_1_*:*_886470_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7310,,"29/Jun/25 10:56 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,29/Jun/25 12:22 PM
Forgot my id,SVF-2473,15442,Facility Service Request,Closed,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,Nada Shaheen,712020:8a7c865a-a4fd-4ce4-8250-aec8a6515a4c,Nada Shaheen,712020:8a7c865a-a4fd-4ce4-8250-aec8a6515a4c,29/Jun/25 10:37 AM,30/Jun/25 1:27 PM,,29/Jun/25 10:44 AM,,,0,,,Kindly requesting a temporary id,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22012edf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00o0n:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:12,0:45,,,,,,,,service-request,,2025-06-29 07:40:02.421,1_*:*_1_*:*_155419_*|*_3_*:*_1_*:*_0,,"29/Jun/25 10:40 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team","29/Jun/25 10:44 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Your temporary ID card is now activated and ready for collection. You may pick it up from the Security Desk in Building B during operational hours.

Important Note:
Please ensure that the temporary ID card is returned within 1 working day of issuance. Failure to do so may result in deactivation of your temporary ID

your card NO is  11937483 the temp card number is 9032267

Zoho ID: 399

Best regards,
Facilities team ",,,,,,Done,29/Jun/25 10:44 AM
I need a tissue box on my desk,SVF-2472,15437,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Bassem Taher,712020:f6d58c0f-d09e-406b-a7e0-043c8cf97522,Bassem Taher,712020:f6d58c0f-d09e-406b-a7e0-043c8cf97522,29/Jun/25 10:18 AM,29/Jun/25 11:12 AM,,29/Jun/25 11:12 AM,,,0,,,"I am currently at building second floor at b2.1  desk and I need a tissue box as I have a flu and there is not a tissue box on my desk

",,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c6b1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nzj:,,,Extra Supplies Request,English,,,,,,Yes,,,,,,,,,,,,,,,,,,8:00,80:00,,,,,,,,service-request,,2025-06-29 07:56:42.044,1_*:*_1_*:*_2259762_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7897,,"29/Jun/25 10:56 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",29/Jun/25 11:12 AM;712020:f6d58c0f-d09e-406b-a7e0-043c8cf97522;Thanks for the fast response,,,,,,Done,29/Jun/25 11:12 AM
I need tmp id ,SVF-2471,15434,Facility Service Request,Closed,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Islam Nasser,712020:fa2aa25a-4e2f-4b45-8729-f1ee462e1b36,Islam Nasser,712020:fa2aa25a-4e2f-4b45-8729-f1ee462e1b36,29/Jun/25 9:49 AM,01/Jul/25 3:21 PM,,29/Jun/25 10:06 AM,,,0,,,I need tmp id ,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dd97ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nyv:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:02,0:45,,,,,,,,service-request,,2025-06-29 09:35:07.427,1_*:*_1_*:*_1050924_*|*_5_*:*_1_*:*_0,,"29/Jun/25 12:35 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Your temporary ID card is now activated and ready for collection. You may pick it up from the Security Desk in Building B during operational hours.

Important Note:
Please ensure that the temporary ID card is returned within 1 working day of issuance. Failure to do so may result in deactivation of your temporary ID

your card NO is 16011847  the temp card number is 9135009

Zoho ID: 930

Best regards,
Facilities team ",,,,,,,Done,29/Jun/25 10:06 AM
Forgot my Id and need to go in,SVF-2470,15433,Facility Service Request,Closed,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Shehab Elgbaly,712020:fa9b762c-dd71-4667-aa70-828dbdb31f8a,Shehab Elgbaly,712020:fa9b762c-dd71-4667-aa70-828dbdb31f8a,29/Jun/25 9:48 AM,01/Jul/25 3:20 PM,,29/Jun/25 10:06 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28d61ef5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nyn:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:03,0:45,,,,,,,,service-request,,2025-06-29 09:37:17.43,1_*:*_1_*:*_1105106_*|*_5_*:*_1_*:*_0,,"29/Jun/25 12:37 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Your temporary ID card is now activated and ready for collection. You may pick it up from the Security Desk in Building B during operational hours.

Important Note:
Please ensure that the temporary ID card is returned within 1 working day of issuance. Failure to do so may result in deactivation of your temporary ID

your card NO is  14809700 the temp card number is 9206625

Zoho ID: 859

Best regards,
Facilities team ",,,,,,,Done,29/Jun/25 10:06 AM
Card holder ,SVF-2469,15432,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Shehab Tarek,712020:1e78793f-c9cc-433f-ba3b-70941107b99c,Shehab Tarek,712020:1e78793f-c9cc-433f-ba3b-70941107b99c,29/Jun/25 9:33 AM,29/Jun/25 1:48 PM,,29/Jun/25 10:53 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61339038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nyf:,,,ID Holder,English,,,,,,Yes,5,29/Jun/25 1:48 PM,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2025-06-29 07:17:02.427,1_*:*_1_*:*_2631563_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_6289,,"29/Jun/25 10:17 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,29/Jun/25 10:53 AM
I need a pen,SVF-2468,15430,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Ahmed Sameh,712020:56ce01f3-ba27-46c0-8601-27b86ab5174e,Ahmed Sameh,712020:56ce01f3-ba27-46c0-8601-27b86ab5174e,29/Jun/25 8:11 AM,29/Jun/25 10:45 AM,,29/Jun/25 10:45 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@172dcd6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nxz:,,,Pen,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2025-06-29 07:16:53.466,1_*:*_1_*:*_7495081_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7079,,"29/Jun/25 10:16 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,29/Jun/25 10:45 AM
Office key request,SVF-2467,15345,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Christine Halim,712020:f732e671-0dc2-4af4-bb60-2353b3a81c2e,Christine Halim,712020:f732e671-0dc2-4af4-bb60-2353b3a81c2e,25/Jun/25 3:17 PM,25/Jun/25 3:46 PM,,25/Jun/25 3:43 PM,,,0,,,Please provide office keys to Wafaa Shabaan (HQ 2nd floor HR office),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40b0eea8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ntr:,,,Other,English,,,,,,Yes,5,25/Jun/25 3:46 PM,,,,,,,,,,,,,,,,7:34,79:34,,,,,,,,service-request,,,1_*:*_1_*:*_1522783_*|*_10001_*:*_1_*:*_0,,,,,,,,,Done,25/Jun/25 3:43 PM
Battery for mouse,SVF-2466,15344,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Shrouk Shafie,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:8a1fb139-313b-415c-b987-1cf3e19ba641,Shrouk Shafie,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:8a1fb139-313b-415c-b987-1cf3e19ba641,25/Jun/25 3:17 PM,25/Jun/25 5:07 PM,,25/Jun/25 5:05 PM,,,0,,,"Hello, 

I need a battery for my mouse.

Desk location: HQ, first floor, desk 1.41

Thanks

Shrouk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a6340c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ntj:,,,Mouse Battery,English,,,,,,Yes,5,25/Jun/25 5:07 PM,,,,,,,,,,,,,,,,1:11,14:11,,,,,,,,service-request,,,1_*:*_1_*:*_5252027_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_5160,,"25/Jun/25 5:02 PM;qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:8a1fb139-313b-415c-b987-1cf3e19ba641;Thank you, I received the battery 🙂 ",,,,,,,Done,25/Jun/25 5:05 PM
 سنون و نوت بوك صغير,SVF-2465,15339,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,samy elabd,712020:355869b6-7cc5-4f6a-831a-bb5bf3735132,samy elabd,712020:355869b6-7cc5-4f6a-831a-bb5bf3735132,25/Jun/25 1:55 PM,25/Jun/25 3:05 PM,,25/Jun/25 3:05 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69295e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00nsf:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:25,30:49,,,,,,,,service-request,,2025-06-25 11:30:20.564,1_*:*_1_*:*_2085526_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_6319,,"25/Jun/25 2:30 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,25/Jun/25 3:05 PM
i need a pen,SVF-2464,15338,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Khaled Elsalhouby,712020:f24c5584-1c7e-4e59-aede-33f8c677d981,Khaled Elsalhouby,712020:f24c5584-1c7e-4e59-aede-33f8c677d981,25/Jun/25 1:35 PM,25/Jun/25 3:05 PM,,25/Jun/25 3:05 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b73d4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ns7:,,,Pen,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:05,30:29,,,,,,,,service-request,,2025-06-25 11:30:11.903,1_*:*_1_*:*_3279748_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_6807,,"25/Jun/25 2:30 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,25/Jun/25 3:05 PM
